"essround","cntry","field_start","field_end","election_date_last_before_fieldwork","election_date_during_fieldwork","election_flag","source"
1,"AT",2003-02-02,2003-09-30,2002-11-24,NA,FALSE,"Manifesto Project 2024a"
1,"BE",2002-10-01,2003-04-30,1999-06-13,NA,FALSE,"Manifesto Project 2024a"
1,"CZ",2002-11-24,2003-03-09,2002-06-14,NA,FALSE,"Manifesto Project 2024a"
1,"DK",2002-10-28,2003-06-19,2001-11-20,NA,FALSE,"Manifesto Project 2024a"
1,"FI",2002-09-09,2002-12-10,1999-03-21,NA,FALSE,"Manifesto Project 2024a"
1,"FR",2003-09-15,2003-12-15,2002-06-09,NA,FALSE,"Manifesto Project 2024a"
1,"DE",2002-11-20,2003-05-16,2002-09-22,NA,FALSE,"Manifesto Project 2024a"
1,"GR",2003-01-29,2003-03-15,2000-04-09,NA,FALSE,"Manifesto Project 2024a"
1,"HU",2002-10-29,2002-11-26,2002-04-07,NA,FALSE,"Manifesto Project 2024a"
1,"IE",2002-12-11,2003-04-12,2002-05-17,NA,FALSE,"Manifesto Project 2024a"
1,"IL",2002-10-15,2003-01-15,1999-05-17,NA,FALSE,"Manifesto Project 2024a"
1,"IT",2003-01-13,2003-06-30,2001-05-13,NA,FALSE,"Manifesto Project 2024a"
1,"LU",2003-04-14,2003-08-14,1999-06-13,NA,FALSE,"Manifesto Project 2024a"
1,"NL",2002-09-01,2003-02-24,2002-05-15,2003-01-22,TRUE,"Manifesto Project 2024a"
1,"NO",2002-09-16,2003-01-17,2001-09-10,NA,FALSE,"Manifesto Project 2024a"
1,"PL",2002-09-30,2002-12-19,2001-09-23,NA,FALSE,"Manifesto Project 2024a"
1,"PT",2002-09-26,2003-01-20,2002-03-17,NA,FALSE,"Manifesto Project 2024a"
1,"SI",2002-10-17,2002-11-30,2000-10-15,NA,FALSE,"Manifesto Project 2024a"
1,"ES",2002-11-19,2003-02-20,2000-03-12,NA,FALSE,"Manifesto Project 2024a"
1,"SE",2002-09-23,2002-12-20,2002-09-15,NA,FALSE,"Manifesto Project 2024a"
1,"CH",2002-09-09,2003-02-08,1999-10-24,NA,FALSE,"Manifesto Project 2024a"
1,"GB",2002-09-24,2003-02-04,2001-06-07,NA,FALSE,"Manifesto Project 2024a"
2,"AT",2005-01-06,2005-04-25,2002-11-24,NA,FALSE,"Manifesto Project 2024a"
2,"BE",2004-10-04,2005-01-31,2003-05-18,NA,FALSE,"Manifesto Project 2024a"
2,"CZ",2004-10-01,2004-12-13,2002-06-14,NA,FALSE,"Manifesto Project 2024a"
